dataset,contrast,endpoint,n_paired_seeds,effect,seed_sd,status
Zeisel_2018,REAL_CL-DEPTH_SHUFFLED_CL,lineage_U,4,0.05439930271546242,0.0009636849249232979,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-GENERIC_STAR,joint_correct_known,4,-0.02514224828259809,0.02272406892887773,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-GENERIC_STAR,joint_correct_known,4,0.0010759532335108124,0.0028013388400619154,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-GENERIC_STAR,joint_correct_known,4,0.0010547536356969034,0.001139735467455357,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-GENERIC_STAR,joint_correct_known,4,-0.014672292245458629,0.018112235442132855,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-GENERIC_STAR,joint_correct_known,4,0.021559817203027437,0.08614288772585897,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-GENERIC_STAR,novelty_ap,4,-0.003430860920715456,0.0007584691268588765,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-GENERIC_STAR,novelty_ap,4,6.698191595308489e-05,1.4201954355645097e-05,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-GENERIC_STAR,novelty_ap,4,0.0005267628659262058,0.00011543576989331529,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-GENERIC_STAR,novelty_ap,4,-0.0020699933257426195,0.00023474215662579295,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-GENERIC_STAR,novelty_ap,4,-9.086841800001744e-05,0.00011021555684893059,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-GENERIC_STAR,full_prednovel_ami,4,0.0006565820420055268,0.0050168286364739465,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-GENERIC_STAR,full_prednovel_ami,4,-0.0108716825955808,0.011227595402943786,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-GENERIC_STAR,full_prednovel_ami,4,-0.0021776560923338073,0.0016907431176980603,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-GENERIC_STAR,full_prednovel_ami,4,-0.0002173527585730417,0.0040930070741079065,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-GENERIC_STAR,full_prednovel_ami,4,-0.010347923621788296,0.011932074045352124,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-GENERIC_STAR,known_retention,4,-0.025440728085365405,0.022720594353497634,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-GENERIC_STAR,known_retention,4,0.0011718200730685135,0.00283750378297131,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-GENERIC_STAR,known_retention,4,0.0011528842571179587,0.0009807755547800521,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-GENERIC_STAR,known_retention,4,-0.013786473280348432,0.01820558194794512,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-GENERIC_STAR,known_retention,4,0.022461607071020268,0.08643141511364504,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-GENERIC_STAR,retained_known_accuracy,4,0.000292475819720861,0.00031631076335455197,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-GENERIC_STAR,retained_known_accuracy,4,-0.00010532329829504583,7.970792498827066e-05,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-GENERIC_STAR,retained_known_accuracy,4,-0.00011140224174080449,0.0003836364960259035,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-GENERIC_STAR,retained_known_accuracy,4,-0.0018110957127701333,0.0006273718676979087,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-GENERIC_STAR,retained_known_accuracy,4,-0.0012314387443447261,0.0005351100531731554,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-GENERIC_STAR,novelty_auroc,4,-0.008667466129606921,0.0008262915561748559,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-GENERIC_STAR,novelty_auroc,4,0.00014217292167290063,1.6265678911940884e-05,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-GENERIC_STAR,novelty_auroc,4,0.0015589228415280043,0.0002315268348578298,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-GENERIC_STAR,novelty_auroc,4,-0.004873380211249778,0.0004332283002742963,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-GENERIC_STAR,novelty_auroc,4,-2.194628970114687e-05,8.908253149328753e-05,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-GENERIC_STAR,threshold_precision,4,-0.012222122946410868,0.010234657193801231,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-GENERIC_STAR,threshold_precision,4,0.0007959359309427372,0.0018126071659805593,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-GENERIC_STAR,threshold_precision,4,0.0006843175980631166,0.0004736735819651031,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-GENERIC_STAR,threshold_precision,4,-0.004613390627104363,0.005327593793144515,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-GENERIC_STAR,threshold_precision,4,0.006531923592277306,0.02742810785210934,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-GENERIC_STAR,threshold_recall,4,-0.007525675835202472,0.001083553284776651,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-GENERIC_STAR,threshold_recall,4,0.0005414105940883818,0.00022094920793887127,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-GENERIC_STAR,threshold_recall,4,0.0017949603037624995,0.0005010134865281011,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-GENERIC_STAR,threshold_recall,4,-0.003411337116623059,0.0014432686026368167,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-GENERIC_STAR,threshold_recall,4,2.8663807929568685e-05,2.885426722035259e-05,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-GENERIC_STAR,threshold_f1,4,-0.01023058760173029,0.005967250640963014,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-GENERIC_STAR,threshold_f1,4,0.0006797096434572047,0.0009334765858483678,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-GENERIC_STAR,threshold_f1,4,0.0011996877397093542,0.00048407878636245343,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-GENERIC_STAR,threshold_f1,4,-0.004104915136460663,0.0024638500278539215,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-GENERIC_STAR,threshold_f1,4,0.0038071921573972767,0.015327652598271166,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-GENERIC_STAR,full_prednovel_ari,4,0.0027207331142397734,0.0191542455072006,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-GENERIC_STAR,full_prednovel_ari,4,-0.02309468780766097,0.0456436484537199,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-GENERIC_STAR,full_prednovel_ari,4,-0.002039097305027715,0.0033752885558134232,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-GENERIC_STAR,full_prednovel_ari,4,-0.0026650403906456066,0.010130761003122699,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-GENERIC_STAR,full_prednovel_ari,4,-0.016394903812664077,0.014948925768425481,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-GENERIC_STAR,full_prednovel_nmi,4,0.0008642024484489252,0.00497597625140046,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-GENERIC_STAR,full_prednovel_nmi,4,-0.010727007055438081,0.011107641767889798,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-GENERIC_STAR,full_prednovel_nmi,4,-0.002137078668087128,0.0016395412175583782,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-GENERIC_STAR,full_prednovel_nmi,4,-0.0001956054234151794,0.004060599701806974,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-GENERIC_STAR,full_prednovel_nmi,4,-0.01034087678588727,0.011907883195088982,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-GENERIC_STAR,lcc_yield,4,0.29875,0.03685243345902481,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-GENERIC_STAR,lcc_yield,4,0.0,0.0,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-GENERIC_STAR,lcc_yield,4,0.0,0.0,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-GENERIC_STAR,lcc_yield,4,0.4409090909090909,0.046056618647183814,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-GENERIC_STAR,lcc_yield,4,0.18814699792960662,0.03347358284505961,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-GENERIC_STAR,assigned_cell_coverage,4,0.3159686083629981,0.03057647496724894,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-GENERIC_STAR,assigned_cell_coverage,4,0.0,0.0,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-GENERIC_STAR,assigned_cell_coverage,4,0.0,0.0,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-GENERIC_STAR,assigned_cell_coverage,4,0.3659214613990606,0.0525258512792694,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-GENERIC_STAR,assigned_cell_coverage,4,0.07607382748783072,0.002176193099984067,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-GENERIC_STAR,lineage_U,0,,,PARTIAL_OR_NOT_EVALUABLE
Quake_10x,REAL_CL-GENERIC_STAR,lineage_U,0,,,PARTIAL_OR_NOT_EVALUABLE
Quake_Smart-seq2,REAL_CL-GENERIC_STAR,lineage_U,0,,,PARTIAL_OR_NOT_EVALUABLE
Wagner,REAL_CL-GENERIC_STAR,lineage_U,0,,,PARTIAL_OR_NOT_EVALUABLE
Zeisel_2018,REAL_CL-GENERIC_STAR,lineage_U,0,,,PARTIAL_OR_NOT_EVALUABLE
Cao,DEPTH_SHUFFLED_CL-GENERIC_STAR,joint_correct_known,4,-0.06867411533112697,0.06380789639383558,FOUR_SEEDS_COMPLETE
Quake_10x,DEPTH_SHUFFLED_CL-GENERIC_STAR,joint_correct_known,4,-0.00023625026277659944,0.001873479255574195,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,DEPTH_SHUFFLED_CL-GENERIC_STAR,joint_correct_known,4,0.0003685443659662002,0.0018100102079032774,FOUR_SEEDS_COMPLETE
Wagner,DEPTH_SHUFFLED_CL-GENERIC_STAR,joint_correct_known,4,0.0032305126320887056,0.0036040437620342295,FOUR_SEEDS_COMPLETE
Zeisel_2018,DEPTH_SHUFFLED_CL-GENERIC_STAR,joint_correct_known,4,-0.01796733011724755,0.061129299517912475,FOUR_SEEDS_COMPLETE
Cao,DEPTH_SHUFFLED_CL-GENERIC_STAR,novelty_ap,4,-0.0031808995887861458,0.0007714247986486255,FOUR_SEEDS_COMPLETE
Quake_10x,DEPTH_SHUFFLED_CL-GENERIC_STAR,novelty_ap,4,1.8024675568328874e-05,2.8337121108058508e-05,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,DEPTH_SHUFFLED_CL-GENERIC_STAR,novelty_ap,4,-0.0009038979727206131,0.00023845595755299083,FOUR_SEEDS_COMPLETE
